SN,Name,Desc
:Int,:Str,:Str
编号,名称,描述
100001,Petals,花瓣
100002,EnergyLimit,体力
100003,Furniture,家具
100004,FriendMoments,朋友圈内容
100005,Album,相册图片
100006,Cartoon,剧情
100007,Dress,小屋装扮关卡
100008,PhoneChat,手机聊天
100009,USD,美金
100010,RMB,人民币
100011,Like1002,姜江好感度
100012,Like1003,钟意好感度
100013,Like1004,晏舒好感度
100014,Room,房型
100015,ChapterCard,剧情卡
100016,RoleRoom,角色房间
100017,BranchKey,钥匙
100018,GiftPack,礼包
100019,Mail,邮件
100020,Feel,好感度
100021,Yanhua1002,星夜烈焰
100022,Yanhua1003,流光之夜
100023,Yanhua1004,晏火
100024,Skin,心动立绘
100025,Stickers,贴纸
100026,LoveCard,心动券
100027,Caricature,条漫
100028,FurnitureCoin,家具币
