SN,IndexName,Name,Desc,DefaultValue,DefaultValueStr
Uni:Int,:Str,:Str,:Str,:Int,:Str
编号,索引名称,名称,描述,初始参数,初始参数（字符）
8001,MergeAutoUnlock,自动合成开启,废弃,9,
8002,MergeAutoTime,自动合成时长,自动合成开启后的运行时长（分钟）,5,
8003,MergeAutoDiamond,自动合成开启钻石,自动合成开始消耗钻石（钻石）,50,
8004,MergeShopMaxLevelBuy,商店最大等级购买价格,合成商店，最大等级购买价格（钻石）,10,
8005,MergeShopUnlock,合成商店自动合成开放等级,商店自动合成公用开放等级,7,
8006,MergeGiftDropUnlock,掉落礼包开启等级,掉落礼包开启时机,8,
8007,MergeGiftDropInterval,掉落礼包间隔,掉落礼包显示间隔时间（秒）,60,
8008,MergeGiftTime,掉落礼包存在时间,掉落礼包在界面存在时间（秒）,20,
8009,ShopUnlock,商城开启,商城开启时机,10,
8010,EncounterUnlock,外出开启,外出功能开启时机,11,
8011,DressRoomUnlock,试衣间开启,试衣间开启时机,5,
8012,PhysicalPointRecoverTime,体力恢复时间,体力倒计时恢复时间（分钟）,5,
8013,ChangeName,改名消耗钻石数量,改名字消耗钻石数量（钻石）,50,
8014,DressRoomSuitSlotSell,试衣间套装位售价,试衣间套装位售价（钻石）,30,
8015,MergeCloseLearnLevel,关闭工作室新手引导时间,达到多少级后，关闭合成按钮的新手引导提示,10,
8016,PhysicalPointDiamond,体力购买钻石数量,购买提示时消耗钻石数量（钻石）,20,
8017,DailyGiftDiamond,每日礼包广告兑换钻石数量,每日礼包广告兑换钻石数量,10,
8018,DailyGiftGold,每日礼包广告兑换金币数量,金币数量（分钟收益）,40,
8019,FrendLoopSort,朋友圈内容序列化,主角朋友圈内容序列化展示,,4313|4216|4121|4516|4019|4415|4120|4515|4215|4414|4214|4312|4119|4514|4213|4311|4118|4310|4212|4117|4018|4309|4211|4116|4017|4115|4016|4413|4412|4308|4513|4114|4512|4015|4210|4411|4113|4307|4306|4410|4014|4112|4409|4013|4305|4111|4511|4012|4408|4304|4407|4011|4209|4010|4406|4208|4110|4510|4109|4009|4303|4108|4404|4403|4405|4402|4207|4401|4107|4302|4008|4509|4106|4105|4206|4007|4205|4006|4005|4508|4204|4004|4203|4507|4301|4506|4003|4104|4103|4102|4202|4505|4002|4101|4201|4001|4504|4503|4502|4501
8020,SignInAward,签到默认奖励,签到默认奖励,,100001:200|100001:200|100001:150|100001:150|100001:150|100001:150
8021,Introduce,关于,,,一个努力干饭头发茂密的研发小团队。
